'BOUT	B AW T
BAG	B AE G
BAGGED	B AE G D
BAGGERS	B AE G ER Z
BALANCE	B AE L AH N S
BALBOA	B AA L B OW AH
BALL	B AO L
BALLED	B AO L D
BAM	B AE M
BANANA	B AH N AE N AH
BAND	B AE N D
BANDA	B AE N D AH
BANG	B AE NG
BANGING	B AE NG IH NG
BANK	B AE NG K
BANKS	B AE NG K S
BANNED	B AE N D
BANNOCK	B AE N AH K
BANNOCKBURN	B AE N AA K B AH R N
BANTERS	B AE N T ER Z
BAR	B AA R
BARACK	B AA R AH K
BARBIE	B AA R B IY
BARE	B EH R
BARELY	B EH R L IY
BARRIERS	B AE R IY ER Z
BARRIERS(2)	B EH R IY ER Z
BARRY	B AE R IY
BARRY(2)	B EH R IY
BASE	B EY S
BASED	B EY S T
BASEMENT	B EY S M AH N T
BASKET	B AE S K AH T
BASS	B AE S
BASS(2)	B EY S
BATE	B EY T
BATHER	B EY DH ER
BATHER(2)	B AE DH ER
BATHING	B EY DH IH NG
BATTLE	B AE T AH L
BE	B IY
BEAMING	B IY M IH NG
BEAMS	B IY M Z
BEAR	B EH R
BEAST	B IY S T
BEAT	B IY T
BEATHING	B IH AH TH IH NG
BEATS	B IY T S
BEAUTIFUL	B Y UW T AH F AH L
BEAUTY	B Y UW T IY
BECAUSE	B IH K AO Z
BECAUSE(2)	B IH K AH Z
BECAUSE(3)	B IH K AA Z
BECOME	B IH K AH M
BECOMES	B IH K AH M Z
BED	B EH D
BEDROOM	B EH D R UW M
BEE	B IY
BEEN	B IH N
BEEN(2)	B AH N
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
BEG	B EH G
BEGGED	B EH G D
BEGGING	B EH G IH NG
BEGIN	B IH G IH N
BEGINS	B IH G IH N Z
BEGUN	B IH G AH N
BEGUN(2)	B EY G AH N
BEHAVE	B IH HH EY V
BEHIND	B IH HH AY N D
BEHINDS	B IH HH AY N D Z
BEING	B IY IH NG
BELIEVE	B IH L IY V
BELIEVIN'	B AH L IY V AH N
BELIEVING	B IH L IY V IH NG
BELL	B EH L
BELLIES	B EH L IY Z
BELONGS	B IH L AO NG Z
BELOW	B IH L OW
BELOW(2)	B IY L OW
BELT	B EH L T
BEN	B EH N
BENDING	B EH N D IH NG
BENEATH	B IH N IY TH
BENT	B EH N T
BERRIED	B EH R IY D
BERRY	B EH R IY
BESIDE	B IH S AY D
BESIDE(2)	B IY S AY D
BEST	B EH S T
BET	B EH T
BETTER	B EH T ER
BETWEEN	B IH T W IY N
BETWEEN(2)	B IY T W IY N
BEYOND	B IH AA N D
BEYOND(2)	B IY AO N D
BEYOND(3)	B IH AO N D
BEYOND'S	B IH AA N D Z
BIBLES	B AY B AH L Z
BID	B IH D
BIG	B IH G
BIGGER	B IH G ER
BIGGEST	B IH G AH S T
BIKING	B AY K IH NG
BILLS	B IH L Z
BINS	B IH N Z
BIRDS	B ER D Z
BIRK	B ER K
BIT	B IH T
BITCH	B IH CH
BITCHES	B IH CH IH Z
BITE	B AY T
BITING	B AY T IH NG
BITTER	B IH T ER
BLACK	B L AE K
BLADES	B L EY D Z
BLAME	B L EY M
BLAST	B L AE S T
BLASTING	B L AE S T IH NG
BLEACHED	B L IY CH T
BLED	B L EH D
BLEEDING	B L IY D IH NG
BLEH	B L IY
BLESSED	B L EH S T
BLESSINGS	B L EH S IH NG Z
BLEW	B L UW
BLIND	B L AY N D
BLINDS	B L AY N D Z
BLING	B L IH NG
BLIZZARD	B L IH Z ER D
BLOCK	B L AA K
BLOCKOUT	B L AA K AW T
BLOOD	B L AH D
BLOODIED	B L AH D IY D
BLOODY	B L AH D IY
BLOW	B L OW
BLOWER	B L OW ER
BLOWING	B L OW IH NG
BLOWN	B L OW N
BLOWS	B L OW Z
BLUE	B L UW
BLUES	B L UW Z
BLUR	B L ER
BLURRY	B L ER IY
BOAR	B AO R
BOATS	B OW T S
BOB	B AA B
BOCO	B OW K OW
BODIES	B AA D IY Z
BODY	B AA D IY
BOILED	B OY L D
BOL	B AA L
BOLERO	B OW L EH R OW
BOMBS	B AA M Z
BONE	B OW N
BONES	B OW N Z
BOOK	B UH K
BOOKS	B UH K S
BORDERLINE	B AO R D ER L AY N
BORING	B AO R IH NG
BORN	B AO R N
BORROWED	B AA R OW D
BOSSINA	B AA S AH N AH
BOTH	B OW TH
BOTTOM	B AA T AH M
BOTTOMLINE	B AA T AH M L AY N
BOULDER	B OW L D ER
BOUNCE	B AW N S
BOUNDARIES	B AW N D ER IY Z
BOUNDARIES(2)	B AW N D R IY Z
BOUNDS	B AW N D Z
BOUNTY	B AW N T IY
BOW	B AW
BOW(2)	B OW
BOWLS	B OW L Z
BOWS	B AW Z
BOWS(2)	B OW Z
BOX	B AA K S
BOY	B OY
BOYS	B OY Z
BRACE	B R EY S
BRADBURY	B R AE D B EH R IY
BRAIN	B R EY N
BRAND	B R AE N D
BRANGE	B R AE N JH
BRAVE	B R EY V
BRAWL	B R AO L
BRAYING	B R EY IH NG
BREAK	B R EY K
BREAKING	B R EY K IH NG
BREAKS	B R EY K S
BREAST	B R EH S T
BREATH	B R EH TH
BREATHE	B R IY DH
BREATHES	B R IY DH Z
BREATHING	B R IY DH IH NG
BRICKS	B R IH K S
BRIDE	B R AY D
BRIDGE	B R IH JH
BRIDGES	B R IH JH AH Z
BRIDGES(2)	B R IH JH IH Z
BRIGHT	B R AY T
BRING	B R IH NG
BRINGING	B R IH NG IH NG
BRINGS	B R IH NG Z
BRINK	B R IH NG K
BRO	B R OW
BROADWAY	B R AO D W EY
BROKEN	B R OW K AH N
BROOKS	B R UH K S
BROTHER	B R AH DH ER
BROUGHT	B R AO T
BROWN	B R AW N
BRUNCH	B R AH N CH
BUILD	B IH L D
BUILDING	B IH L D IH NG
BUILT	B IH L T
BULL	B UH L
BULLDOZER	B UH L D OW Z ER
BULLET	B UH L AH T
BULLSHIT	B UH L SH IH T
BURIED	B EH R IY D
BURN	B ER N
BURNED	B ER N D
BURNING	B ER N IH NG
BURNS	B ER N Z
BURRY	B ER IY
BUS	B AH S
BUSINESS	B IH Z N AH S
BUSINESS(2)	B IH Z N IH S
BUT	B AH T
BUTTER	B AH T ER
BUTTERFLY	B AH T ER F L AY
BUY	B AY
BY	B AY
BYE	B AY
C'MON	K AH M AA N
CALENDAR	K AE L AH N D ER
CALL	K AO L
CALLED	K AO L D
CALLIN'	K AE L AH N
CALLING	K AO L IH NG
CALLS	K AO L Z
CALM	K AA M
CALM(2)	K AA L M
CAME	K EY M
CAMERADS	K AE M AH R AH D Z
CAMIO	K EY M IY OW
CAN	K AE N
CAN(2)	K AH N
CAN'T	K AE N T
CANADIAN	K AH N EY D IY AH N
CANAPE	K AE N EY P
CANDLE	K AE N D AH L
CANNOT	K AE N AA T
CANNOT(2)	K AH N AA T
CANT	K AE N T
CAPTAIN	K AE P T AH N
CAR	K AA R
CARAMELIZE	K EH R AH M AH L AY Z
CARD	K AA R D
CARE	K EH R
CARELESS	K EH R L EH S
CARES	K EH R Z
CARRYING	K AE R IY IH NG
CARRYING(2)	K EH R IY IH NG
CARS	K AA R Z
CARS(2)	K AA Z
CART	K AA R T
CARVING	K AA R V IH NG
CASE	K EY S
CASES	K EY S AH Z
CASES(2)	K EY S IH Z
CASH	K AE SH
CAST	K AE S T
CASTING	K AE S T IH NG
CASUALLY	K AE ZH AH W AH L IY
CASUALTY	K AE ZH AH W AH L T IY
CASUALTY(2)	K AE ZH AH L T IY
CAT	K AE T
CATALINA	K AE T AH L IY N AH
CATASTROPHE	K AH T AE S T R AH F IY
CATCH	K AE CH
CATCHER	K AE CH ER
CATCHING	K AE CH IH NG
CATE	K EY T
CATS	K AE T S
CAUGHT	K AA T
CAUGHT(2)	K AO T
CAUSE	K AA Z
CAUSE(2)	K AO Z
CAUSED	K AA Z D
CAUSED(2)	K AO Z D
CAUTIOUS	K AO SH AH S
CAUTIOUSLY	K AO SH AH S L IY
CAVE	K EY V
CAVING	K EY V IH NG
CEILING	S IY L IH NG
CELEBRATE	S EH L AH B R EY T
CELEBRATION	S EH L AH B R EY SH AH N
CELLENGER	S EH L AH NG AH R
CELTIC	S EH L T IH K
CELTIC(2)	K EH L T IH K
CENTER	S EH N T ER
CENTER(2)	S EH N ER
CENTURY	S EH N CH ER IY
CERTAIN	S ER T AH N
CHAIN	CH EY N
CHAIR	CH EH R
CHAIRS	CH EH R Z
CHALLENGE	CH AE L AH N JH
CHAMP	CH AE M P
CHAMPAGNE	SH AE M P EY N
CHAMPION	CH AE M P IY AH N
CHANCE	CH AE N S
CHANGE	CH EY N JH
CHANGED	CH EY N JH D
CHANGING	CH EY N JH IH NG
CHARACTER	K EH R IH K T ER
CHARGE	CH AA R JH
CHARLIE	CH AA R L IY
CHASE	CH EY S
CHASED	CH EY S T
CHAT	CH AE T
CHEAT	CH IY T
CHECK	CH EH K
CHECKED	CH EH K T
CHERISH	CH EH R IH SH
CHEST	CH EH S T
CHICK	CH IH K
CHICKS	CH IH K S
CHILD	CH AY L D
CHILDHOOD	CH AY L D HH UH D
CHILDREN	CH IH L D R AH N
CHILE	CH IH L IY
CHILL	CH IH L
CHIN	CH IH N
CHIP	CH IH P
CHIRPING	CH ER P IH NG
CHOICE	CH OY S
CHOKED	CH OW K T
CHOOSE	CH UW Z
CHOOSING	CH UW Z IH NG
CHRISES	K R AY Z AH Z
CIAO	CH AW
CIGAR	S IH G AA R
CIGARS	S IH G AA R Z
CINEMA	S IH N AH M AH
CITIES	S IH T IY Z
CITY	S IH T IY
CIVIL	S IH V AH L
CLAIM	K L EY M
CLAIMED	K L EY M D
CLANG	K L AE NG
CLARITY	K L EH R AH T IY
CLARITY(2)	K L EH R IH T IY
CLASS	K L AE S
CLASSICS	K L AE S IH K S
CLASSIFICATION	K L AE S AH F AH K EY SH AH N
CLEAN	K L IY N
CLEANING	K L IY N IH NG
CLEAR	K L IH R
CLEARLY	K L IH R L IY
CLEARS	K L IH R Z
CLICK	K L IH K
CLIMB	K L AY M
CLING	K L IH NG
CLINIC	K L IH N IH K
CLIPS	K L IH P S
CLOCK	K L AA K
CLOSE	K L OW S
CLOSE(2)	K L OW Z
CLOSED	K L OW Z D
CLOSER	K L OW S ER
CLOSER(2)	K L OW Z ER
CLOSING	K L OW Z IH NG
CLOTHES	K L OW DH Z
CLOTHES(2)	K L OW Z
CLOUDLESS	K L AW D L AH S
CLOUDS	K L AW D Z
CLOUDY	K L AW D IY
CLOVE	K L OW V
CLUB	K L AH B
CLUBS	K L AH B Z
CLUED	K L UW D
CLUES	K L UW Z
COAL	K OW L
COARSE	K AO R S
COASTER	K OW S T ER
CODEST	K OW D AH S T
COFFEE	K AA F IY
COFFEE(2)	K AO F IY
COFFIN	K AO F IH N
COFFINS	K AO F IH N Z
COG	K AO G
COILED	K OY L D
COLD	K OW L D
COLLECT	K AH L EH K T
COLLECTIVE	K AH L EH K T IH V
COLLINS	K AA L IH N Z
COLOR	K AH L ER
COLOR(2)	K AO L ER
COLOR'S	K AH L ER Z
COLORED	K AH L ER D
COLORS	K AH L ER Z
COLOSSUS	K AH L AA S AH S
COMA	K OW M AH
COMBO	K AA M B OW
COME	K AH M
COMEDY'S	K AA M AH D IY Z
COMES	K AH M Z
COMING	K AH M IH NG
COMMA	K AA M AH
COMMANDS	K AH M AE N D Z
COMMITTED	K AH M IH T IH D
COMNY	K AA M N IY
COMPANY	K AH M P AH N IY
COMPARE	K AH M P EH R
COMPLETE	K AH M P L IY T
COMPLETED	K AH M P L IY T AH D
COMPLETED(2)	K AH M P L IY T IH D
COMPLETELY	K AH M P L IY T L IY
COMPLICATED	K AA M P L AH K EY T AH D
COMRADES	K AA M R AE D Z
CONDEMN	K AH N D EH M
CONDITION	K AH N D IH SH AH N
CONDUCTOR	K AH N D AH K T ER
CONFESS	K AH N F EH S
CONFIDES	K AH N F AY D Z
CONFINED	K AH N F AY N D
CONFLICTED	K AH N F L IH K T IH D
CONFORMS	K AH N F AO R M Z
CONFUSED	K AH N F Y UW Z D
CONNECT	K AH N EH K T
CONNECTED	K AH N EH K T IH D
CONNECTIONS	K AH N EH K SH AH N Z
CONSIDER	K AH N S IH D ER
CONSTANT	K AA N S T AH N T
CONSTRUCTED	K AH N S T R AH K T AH D
CONSTRUCTED(2)	K AH N S T R AH K T IH D
CONSUMING	K AH N S UW M IH NG
CONTAIN	K AH N T EY N
CONTAMINING	K AA N T AH M AY N AH NG
CONTENT	K AA N T EH N T
CONTENT(2)	K AH N T EH N T
CONTEXT	K AA N T EH K S T
CONTINUOUS	K AH N T IH N Y UW AH S
CONTROL	K AH N T R OW L
CONTROLLING	K AH N T R OW L IH NG
CONVERSATION	K AA N V ER S EY SH AH N
CONVEYING	K AH N V EY IH NG
CONVINCE	K AH N V IH N S
COOL	K UW L
CORN	K AO R N
CORNER	K AO R N ER
CORNERS	K AO R N ER Z
CORPORATE	K AO R P ER AH T
CORPORATE(2)	K AO R P R AH T
COST	K AA S T
COST(2)	K AO S T
COUCH	K AW CH
COULD	K UH D
COULDN'T	K UH D AH N T
COULDN'T(2)	K UH D AH N
COUNT	K AW N T
COUNTING	K AW N T IH NG
COUNTRY	K AH N T R IY
COUNTRY'S	K AH N T R IY Z
COUPLES	K AH P AH L Z
COURAGE	K ER IH JH
COVER	K AH V ER
COW	K AW
COW'S	K AW Z
COWBOYS	K AW B OY Z
CRACK	K R AE K
CRACKED	K R AE K T
CRACKS	K R AE K S
CRAFT	K R AE F T
CRANKY	K R AE NG K IY
CRAVE	K R EY V
CRAWL	K R AO L
CRAWLING	K R AO L IH NG
CRAYCROFT	K R EY K R AH F T
CRAZY	K R EY Z IY
CREAM	K R IY M
CREATE	K R IY EY T
CREEK	K R IY K
CREEPING	K R IY P IH NG
CREW	K R UW
CRIES	K R AY Z
CRIME	K R AY M
CRISP	K R IH S P
CROSS	K R AO S
CROSSED	K R AO S T
CROUPIER	K R UW P IY EY
CROWD	K R AW D
CROWN	K R AW N
CROWNED	K R AW N D
CRUEL	K R UW AH L
CRUEL(2)	K R UW L
CRUNCH	K R AH N CH
CRUSH	K R AH SH
CRUTCH	K R AH CH
CRY	K R AY
CRYING	K R AY IH NG
CRYSTAL	K R IH S T AH L
CUDDLY	K AH D L IY
CULT	K AH L T
CULVER	K AH L V ER
CUP	K AH P
CUPCAKES	K AH P K EY K S
CURLS	K ER L Z
CURSE	K ER S
CURTAIN	K ER T AH N
CURTAINS	K ER T AH N Z
CUSTARDY	K AH S T AA R D IY
CUT	K AH T
CUTS	K AH T S
D	D IY
DA	D AA
DA(2)	D IY EY
DADDY	D AE D IY
DADDY'S	D AE D IY Z
DAGGERS	D AE G ER Z
DAMA	D AA M AH
DAMAGE	D AE M AH JH
DAMAGE(2)	D AE M IH JH
DAMN	D AE M
DAN	D AE N
DANCE	D AE N S
DANCER	D AE N S ER
DANCING	D AE N S IH NG
DANGEROUS	D EY N JH ER AH S
DANGERS	D EY N JH ER Z
DANNY	D AE N IY
DANTE'S	D AE N T IY Z
DARE	D EH R
DARK	D AA R K
DARKENED	D AA R K AH N D
DARKNESS	D AA R K N AH S
DART	D AA R T
DARTH	D AA R TH
DATA	D EY T AH
DATA(2)	D AE T AH
DATES	D EY T S
DAVID	D EY V IH D
DAWN	D AO N
DAY	D EY
DAY'S	D EY Z
DAYS	D EY Z
DAZES	D EY Z IH Z
DE	D IY
DE(2)	D EY
DE(3)	D AH
DEAD	D EH D
DEAL	D IY L
DEALT	D EH L T
DEAM	D IY M
DEAN	D IY N
DEAR	D IH R
DEATH	D EH TH
DEBATE	D AH B EY T
DEBT	D EH T
DECAY	D IH K EY
DECEIVE	D IH S IY V
DECIDE	D IH S AY D
DECIDED	D IH S AY D IH D
DECISION	D IH S IH ZH AH N
DEE	D IY
DEEP	D IY P
DEEPER	D IY P ER
DEEPEST	D IY P AH S T
DEFEND	D IH F EH N D
DEFINE	D IH F AY N
DEFY	D IH F AY
DELIRIAS	D AH L IH R IY AH Z
DELIVER	D IH L IH V ER
DEMISE	D IH M AY Z
DEMONS	D IY M AH N Z
DEMONSTRATE	D EH M AH N S T R EY T
DENIES	D IH N AY Z
DENY	D IH N AY
DEPENDS	D IH P EH N D Z
DEPRECIATED	D IH P R IY SH IY EY T IH D
DEPTH	D EH P TH
DEPTHS	D EH P TH S
DERGENS	D IH R JH EH N Z
DERISIVE	D ER IH S IH V
DERISIVE(2)	D ER AY S IH V
DERIVE	D ER AY V
DESERT	D EH Z ER T
DESERT(2)	D IH Z ER T
DESERTED	D IH Z ER T IH D
DESERVE	D IH Z ER V
DESERVING	D IH Z ER V IH NG
DESIRED	D IH Z AY ER D
DESIRES	D IH Z AY ER Z
DESK	D EH S K
DESPERA	D IH S EH R AH
DESPERATE	D EH S P R IH T
DESPERATE(2)	D EH S P ER IH T
DESPITE	D IH S P AY T
DESTINATION'S	D EH S T AH N EY SH AH N Z
DESTINY	D EH S T AH N IY
DESTROYED	D IH S T R OY D
DETENTION	D IH T EH N SH AH N
DETERMINED	D IH T ER M AH N D
DEVIL	D EH V AH L
DEVIL'S	D EH V AH L Z
DEVILS	D EH V AH L Z
DEVOTION	D IH V OW SH AH N
DEVOUR	D IH V AW ER
DIAMOND	D AY M AH N D
DID	D IH D
DIDN'T	D IH D AH N T
DIDN'T(2)	D IH D N T
DIDN'T(3)	D IH D AH N
DIDN'T(4)	D IH N T
DIE	D AY
DIED	D AY D
DIES	D AY Z
DIFFERENCE	D IH F ER AH N S
DIFFERENCE(2)	D IH F R AH N S
DIFFERENT	D IH F ER AH N T
DIFFERENT(2)	D IH F R AH N T
DIFFERENTIAL	D IH F ER EH N SH AH L
DIG	D IH G
DIGGER	D IH G ER
DIGGING	D IH G IH NG
DIGINITY	D IH G IH N AH T IY
DIMMED	D IH M D
DINING	D AY N IH NG
DIRECTIONS	D ER EH K SH AH N Z
DIRECTIONS(2)	D IY R EH K SH IH N Z
DIRECTIONS(3)	D AY R EH K SH IH N Z
DIRECTIONS(4)	D IH R EH K SH IH N Z
DIRT	D ER T
DIRTY	D ER T IY
DISAGREE	D IH S AH G R IY
DISAPPEAR	D IH S AH P IH R
DISAPPEAR(2)	D IH S AH P IY R
DISAPPEARED	D IH S AH P IH R D
DISAPPEARED(2)	D IH S AH P IY R D
DISBELIEVE	D IH S B IH L IY V
DISEASE	D IH Z IY Z
DISEMBODIED	D IH S IH B AA D IY D
DISGUISE	D IH S G AY Z
DISGUISED	D IH S G AY Z D
DISMEMBER	D IH S M EH M B ER
DISTANCE	D IH S T AH N S
DISTRACTION	D IH S T R AE K SH AH N
DISTURBED	D IH S T ER B D
DISTURBING	D IH S T ER B IH NG
DITCHES	D IH CH AH Z
DITCHES(2)	D IH CH IH Z
DIVE	D AY V
DIVERSION	D AY V ER ZH AH N
DIVERSION(2)	D IH V ER ZH AH N
DIVINE	D IH V AY N
DO	D UW
DOCTOR	D AA K T ER
DOCTOR(2)	D AO K T ER
DOES	D AH Z
DOES(2)	D IH Z
DOESN'T	D AH Z AH N T
DOESN'T(2)	D AH Z AH N
DOG	D AO G
DOING	D UW IH NG
DOLLAR	D AA L ER
DOLLAR(2)	D AO L ER
DOLOUR	D AA L AH R
DON'T	D OW N T
DON'T(2)	D OW N
DONE	D AH N
DONOR	D OW N ER
DOOR	D AO R
DOORS	D AO R Z
DOPE	D OW P
DOROTHY	D AO R AH TH IY
DOROTHY(2)	D AO R TH IY
DOTS	D AA T S
DOUBLE	D AH B AH L
DOUBT	D AW T
DOUBTS	D AW T S
DOWN	D AW N
DOWNCAST	D AW N K AE S T
DOWNSIDE	D AW N S AY D
DOZER	D OW Z ER
DRAG	D R AE G
DRAGGED	D R AE G D
DRAGGING	D R AE G IH NG
DRAGS	D R AE G Z
DRAIN	D R EY N
DRAINED	D R EY N D
DRAW	D R AO
DRE	D AH R
DREAM	D R IY M
DREAMED	D R IY M D
DREAMING	D R IY M IH NG
DREAMS	D R IY M Z
DRESS	D R EH S
DRESSED	D R EH S T
DRESSING	D R EH S IH NG
DRIBS	D R IH B Z
DRIED	D R AY D
DRILL	D R IH L
DRINK	D R IH NG K
DRINKING	D R IH NG K IH NG
DRIVE	D R AY V
DRIVEN	D R IH V AH N
DRIVING	D R AY V IH NG
DROP	D R AA P
DROP(2)	D R AO P
DROPS	D R AA P S
DROVE	D R OW V
DROWN	D R AW N
DROWNED	D R AW N D
DROWNING	D R AW N IH NG
DRUG	D R AH G
DRUGS	D R AH G Z
DRUMS	D R AH M Z
DRUNK	D R AH NG K
DRY	D R AY
DRYING	D R AY IH NG
DU	D UW
DU(2)	D AH
DUCKS	D AH K S
DULL	D AH L
DUMMY	D AH M IY
DUST	D AH S T
DUSTY	D AH S T IY
DYING	D AY IH NG
E	IY
EACH	IY CH
EAGER	IY G ER
EAR	IY R
EAR(2)	IH R
EARLY	ER L IY
EARN	ER N
EARS	IH R Z
EARS(2)	IY R Z
EARTH	ER TH
EARTHBOUND	ER TH B AW N D
EASILY	IY Z AH L IY
EASY	IY Z IY
EAT	IY T
EATEN	IY T AH N
EATING	IY T IH NG
ECHO	EH K OW
ECOLOGIES	AH K AA L AH JH AY Z
ECONOMIES	IH K AA N AH M IY Z
ECONOMIES(2)	IY K AA N AH M IY Z
EELS	IY L Z
EIGHT	EY T
EITHER	IY DH ER
EITHER(2)	AY DH ER
ELECTRIC	IH L EH K T R IH K
ELIXIR	IH L IH K S ER
ELOHEIM	EH L AH HH IY M
ELSE	EH L S
ELSE'S	EH L S IH Z
ELVIS	EH L V IH S
EMBRACE	EH M B R EY S
EMBRACE(2)	IH M B R EY S
EMERGENCY	IH M ER JH AH N S IY
EMERGENCY(2)	IY M ER JH AH N S IY
EMOTION	IH M OW SH AH N
EMOTION(2)	IY M OW SH AH N
EMPTY	EH M P T IY
EMPTY(2)	EH M T IY
END	EH N D
ENDED	EH N D AH D
ENDED(2)	EH N D IH D
ENDINGS	EH N D IH NG Z
ENDLESS	EH N D L AH S
ENDLESSLY	EH N D L AH S L IY
ENDS	EH N D Z
ENDURE	EH N D Y UH R
ENDURE(2)	IH N D UH R
ENERGIES	EH N ER JH IY Z
ENERGY	EH N ER JH IY
ENGLISH	IH NG G L IH SH
ENGLISH(2)	IH NG L IH SH
ENJOY	EH N JH OY
ENLIGHTENED	EH N L AY T AH N D
ENOUGH	IH N AH F
ENOUGH(2)	IY N AH F
ENTERTAINMENT	EH N T ER T EY N M AH N T
ENTERTAINMENT(2)	EH N ER T EY N M AH N T
ENTOURAGE	AA N T UH R AA ZH
ENTOURAGE(2)	AA N T ER AA ZH
